machine,debugsize,debugrva,majorimageversion,majorosversion,exportrva,exportsize,iatvra,majorlinkerversion,minorlinkerversion,numberofsections,sizeofstackreserve,dllcharacteristics,resourcesize,bitcoinaddresses,benign,debug_density,stack_reserve_per_section,log_debugsize,log_exportsize
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,672,0,1,0.0,349524.1682527725,0.0,0.0
34404,84,19904,10,10,21312,252,18160,14,10,6,262144,16736,1040,0,1,0.004220257232606382,43690.593849010256,4.442651256490317,5.53338948872752
34404,84,64704,10,10,67632,404,57648,14,10,6,262144,16736,1072,0,1,0.001298219584369093,43690.593849010256,4.442651256490317,6.003887067106539
34404,84,56096,10,10,58544,108,42480,14,10,7,262144,16736,1016,0,1,0.0014974329717809766,37449.08935844377,4.442651256490317,4.6913478822291435
34404,84,24608,10,10,30816,328,22680,14,10,7,262144,16736,1072,0,1,0.003413524055830005,37449.08935844377,4.442651256490317,5.796057750765372
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,1,0.0,349524.1682527725,0.0,0.0
34404,84,19744,10,10,0,0,16656,14,10,6,524288,49504,2632,0,1,0.004254457048088302,87381.18769802051,4.442651256490317,0.0
34404,28,4832,6,6,0,0,4096,9,0,5,524288,33088,2632,0,1,0.005794701974762621,104857.39028521944,3.367295829986474,0.0
34404,84,27328,10,10,28784,164,24848,14,10,6,262144,16736,5624,0,1,0.003073770490678509,43690.593849010256,4.442651256490317,5.10594547390058
34404,28,4688,6,6,27616,164,4096,9,0,5,262144,320,5432,0,1,0.005972696232993396,52428.69514260972,3.367295829986474,5.10594547390058
332,84,12368,10,10,61024,286,73728,14,10,6,262144,16704,992,0,1,0.006791720563719502,43690.593849010256,4.442651256490317,5.659482215759621
34404,84,68096,10,10,72752,288,58960,14,10,7,262144,16736,992,0,1,0.0012335526313977982,37449.08935844377,4.442651256490317,5.666426688112432
332,28,4816,6,6,72464,286,4096,9,0,4,262144,320,992,0,1,0.005813953476299931,65535.836160409606,3.367295829986474,5.659482215759621
34404,28,5536,6,6,88432,286,4096,9,0,5,262144,320,992,0,1,0.005057803459071887,52428.69514260972,3.367295829986474,5.659482215759621
332,84,59780,0,6,86016,188,61440,14,10,6,1048576,320,4736,0,1,0.001405152224589302,174762.37539604102,4.442651256490317,5.241747015059643
332,84,87004,10,6,8360,165,98304,14,10,5,1048576,320,2880,0,1,0.0009654728517119359,209714.7805704389,4.442651256490317,5.111987788356544
332,84,86988,10,6,8348,165,98304,14,10,5,1048576,320,2888,0,1,0.0009656504344316859,209714.7805704389,4.442651256490317,5.111987788356544
332,84,11024,10,10,160160,189,196608,14,10,6,262144,16704,1088,0,1,0.007619738744902269,43690.593849010256,4.442651256490317,5.247024072160486
332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,952,0,1,0.0,349524.1682527725,0.0,0.0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,960,0,1,0.0,349524.1682527725,0.0,0.0
332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,968,0,1,0.0,349524.1682527725,0.0,0.0
332,84,119964,0,6,143360,147,122880,14,10,6,1048576,320,2032,0,1,0.0007002100629605373,174762.37539604102,4.442651256490317,4.997212273764115
332,28,4096,0,6,4128,56,0,14,10,2,1048576,1344,9076,0,1,0.0068359374833107,524285.3785731071,3.367295829986474,4.04305126783455
34404,28,36864,0,4,0,0,53924,2,25,9,2097152,32768,2760,0,1,0.0007595486109050703,233016.62998152224,3.367295829986474,0.0
34404,28,4864,6,6,56608,182,4096,9,0,5,262144,64,1632,0,1,0.00575657893553335,52428.69514260972,3.367295829986474,5.209486152841421
34404,28,4880,6,6,59808,182,4096,9,0,5,262144,64,1632,0,1,0.005737704906275195,52428.69514260972,3.367295829986474,5.209486152841421
34404,28,4720,6,6,83296,148,4096,9,0,6,262144,64,1432,0,1,0.005932203377262281,43690.593849010256,3.367295829986474,5.003946305945459
34404,28,4864,6,6,82992,182,4096,9,0,5,262144,64,1632,0,1,0.00575657893553335,52428.69514260972,3.367295829986474,5.209486152841421
34404,28,4880,6,6,86512,182,4096,9,0,5,262144,64,1632,0,1,0.005737704906275195,52428.69514260972,3.367295829986474,5.209486152841421
34404,28,4464,6,6,83184,182,94208,11,0,6,262144,16736,1568,0,1,0.0062724014196406785,43690.593849010256,3.367295829986474,5.209486152841421
34404,28,4464,6,6,83264,182,94208,11,0,6,262144,16736,1568,0,1,0.0062724014196406785,43690.593849010256,3.367295829986474,5.209486152841421
34404,28,5152,6,6,196256,182,4096,9,0,5,262144,64,1632,0,1,0.005434782598146773,52428.69514260972,3.367295829986474,5.209486152841421
34404,28,5168,6,6,200464,182,4096,9,0,5,262144,64,1632,0,1,0.005417956645863088,52428.69514260972,3.367295829986474,5.209486152841421
34404,84,136416,10,10,158752,112,130680,14,10,7,262144,16736,1328,0,1,0.000615763546752891,37449.08935844377,4.442651256490317,4.727387818712341
332,0,0,6,5,0,0,94972,2,25,8,1048576,32768,45056,0,1,0.0,131071.83616020481,0.0,0.0
34404,84,13168,10,10,14992,188,12560,14,10,7,262144,16736,1040,0,1,0.006379100845702384,37449.08935844377,4.442651256490317,5.241747015059643
332,28,8400,0,4,0,0,8192,11,0,3,1048576,34112,1064,0,1,0.0033333333293650794,349524.1682527725,3.367295829986474,0.0
34404,84,123152,10,10,0,0,77824,14,10,6,524288,49504,6320,0,1,0.0006820839287480444,87381.18769802051,4.442651256490317,0.0
332,84,41188,0,6,57344,112,45056,14,10,4,1048576,320,0,0,1,0.002039428959396079,262143.34464163842,4.442651256490317,4.727387818712341
332,0,0,0,4,0,0,107244,5,0,5,1048576,0,41640,0,1,0.0,209714.7805704389,0.0,0.0
332,56,74144,0,6,99936,292,73728,12,0,5,1048576,320,1488,0,1,0.0007552870089615765,209714.7805704389,4.04305126783455,5.680172609017068
34404,84,38080,10,10,42416,168,33776,14,10,6,262144,16736,992,0,1,0.0022058823523619007,43690.593849010256,4.442651256490317,5.1298987149230735
34404,28,5072,6,6,48128,165,4096,9,0,5,262144,320,992,0,1,0.005520504720976923,52428.69514260972,3.367295829986474,5.111987788356544
34404,28,4432,6,6,137968,125,151552,11,0,6,262144,16736,704,0,1,0.006317689516431206,43690.593849010256,3.367295829986474,4.836281906951478
34404,84,9024,10,10,0,0,8464,14,10,6,524288,49504,1056,0,1,0.00930851062798259,87381.18769802051,4.442651256490317,0.0
332,84,80152,0,6,118784,214,81920,14,10,5,1048576,320,1344,0,1,0.001048008783180955,209714.7805704389,4.442651256490317,5.3706380281276624
332,84,11248,10,10,57072,318,65536,14,10,5,262144,16704,1000,0,1,0.007467994303460176,52428.69514260972,4.442651256490317,5.765191102784844
34404,84,68656,10,10,79520,328,58256,14,10,6,262144,16736,1000,0,1,0.0012234910275542572,43690.593849010256,4.442651256490317,5.796057750765372
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,6956,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,6936,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,6704,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,3376,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,7256,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,6520,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,7460,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,6440,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,7744,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
332,84,4096,15,6,0,0,0,14,11,2,1048576,1344,7212,0,1,0.0205078124499321,524285.3785731071,4.442651256490317,0.0
